"","State","Year","HDI"
"636","Lakshadweep",1995,0.694
"637","Lakshadweep",1996,0.693
"638","Lakshadweep",1997,0.691
"639","Lakshadweep",1998,0.69
"640","Lakshadweep",1999,0.691
"641","Lakshadweep",2000,0.694
"642","Lakshadweep",2001,0.695
"643","Lakshadweep",2002,0.698
"644","Lakshadweep",2003,0.709
"645","Lakshadweep",2004,0.715
"646","Lakshadweep",2005,0.721
"647","Lakshadweep",2006,0.728
"648","Lakshadweep",2007,0.723
"649","Lakshadweep",2008,0.717
"650","Lakshadweep",2009,0.709
"651","Lakshadweep",2010,0.707
"652","Lakshadweep",2011,0.71
"653","Lakshadweep",2012,0.706
"654","Lakshadweep",2013,0.71
"655","Lakshadweep",2014,0.718
"656","Lakshadweep",2015,0.723
"657","Lakshadweep",2016,0.732
"658","Lakshadweep",2017,0.729
"659","Lakshadweep",2018,0.719
"660","Lakshadweep",2019,0.712
"661","Lakshadweep",2020,0.713
"662","Lakshadweep",2021,0.706
"663","Lakshadweep",2022,0.719
"664","Lakshadweep",2023,0.719
"665","Lakshadweep",2024,0.719
"666","Madhya Pradesh",1990,0.408
"667","Madhya Pradesh",1991,0.41
"668","Madhya Pradesh",1992,0.415
"669","Madhya Pradesh",1993,0.418
"670","Madhya Pradesh",1994,0.422
"671","Madhya Pradesh",1995,0.427
"672","Madhya Pradesh",1996,0.432
"673","Madhya Pradesh",1997,0.436
"674","Madhya Pradesh",1998,0.44
"675","Madhya Pradesh",1999,0.446
"676","Madhya Pradesh",2000,0.452
"677","Madhya Pradesh",2001,0.456
"678","Madhya Pradesh",2002,0.463
"679","Madhya Pradesh",2003,0.475
"680","Madhya Pradesh",2004,0.484
"681","Madhya Pradesh",2005,0.493
"682","Madhya Pradesh",2006,0.503
"683","Madhya Pradesh",2007,0.51
"684","Madhya Pradesh",2008,0.516
"685","Madhya Pradesh",2009,0.52
"686","Madhya Pradesh",2010,0.528
"687","Madhya Pradesh",2011,0.54
"688","Madhya Pradesh",2012,0.547
"689","Madhya Pradesh",2013,0.555
"690","Madhya Pradesh",2014,0.567
"691","Madhya Pradesh",2015,0.577
"692","Madhya Pradesh",2016,0.589
"693","Madhya Pradesh",2017,0.598
"694","Madhya Pradesh",2018,0.6
"695","Madhya Pradesh",2019,0.605
"696","Madhya Pradesh",2020,0.605
"697","Madhya Pradesh",2021,0.599
"698","Madhya Pradesh",2022,0.611
"699","Madhya Pradesh",2023,0.61375
"700","Madhya Pradesh",2024,0.6165
"701","Maharashtra",1990,0.498
"702","Maharashtra",1991,0.501
"703","Maharashtra",1992,0.507
"704","Maharashtra",1993,0.511
"705","Maharashtra",1994,0.515
"706","Maharashtra",1995,0.521
"707","Maharashtra",1996,0.527
"708","Maharashtra",1997,0.532
"709","Maharashtra",1998,0.538
"710","Maharashtra",1999,0.545
"711","Maharashtra",2000,0.551
"712","Maharashtra",2001,0.556
"713","Maharashtra",2002,0.563
"714","Maharashtra",2003,0.577
"715","Maharashtra",2004,0.586
"716","Maharashtra",2005,0.596
"717","Maharashtra",2006,0.606
"718","Maharashtra",2007,0.615
"719","Maharashtra",2008,0.621
"720","Maharashtra",2009,0.626
"721","Maharashtra",2010,0.636
"722","Maharashtra",2011,0.649
"723","Maharashtra",2012,0.657
"724","Maharashtra",2013,0.66
"725","Maharashtra",2014,0.668
"726","Maharashtra",2015,0.672
"727","Maharashtra",2016,0.68
"728","Maharashtra",2017,0.687
"729","Maharashtra",2018,0.686
"730","Maharashtra",2019,0.689
"731","Maharashtra",2020,0.689
"732","Maharashtra",2021,0.683
"733","Maharashtra",2022,0.695
"734","Maharashtra",2023,0.69725
"735","Maharashtra",2024,0.6995
"736","Manipur",1990,0.5
"737","Manipur",1991,0.503
"738","Manipur",1992,0.509
"739","Manipur",1993,0.512
"740","Manipur",1994,0.517
"741","Manipur",1995,0.522
"742","Manipur",1996,0.528
"743","Manipur",1997,0.533
"744","Manipur",1998,0.54
"745","Manipur",1999,0.547
"746","Manipur",2000,0.552
"747","Manipur",2001,0.556
"748","Manipur",2002,0.562
"749","Manipur",2003,0.574
"750","Manipur",2004,0.582
"751","Manipur",2005,0.591
"752","Manipur",2006,0.6
"753","Manipur",2007,0.619
"754","Manipur",2008,0.636
"755","Manipur",2009,0.652
"756","Manipur",2010,0.672
"757","Manipur",2011,0.696
"758","Manipur",2012,0.714
"759","Manipur",2013,0.703
"760","Manipur",2014,0.695
"761","Manipur",2015,0.686
"762","Manipur",2016,0.678
"763","Manipur",2017,0.682
"764","Manipur",2018,0.678
"765","Manipur",2019,0.676
"766","Manipur",2020,0.676
"767","Manipur",2021,0.671
"768","Manipur",2022,0.683
"769","Manipur",2023,0.68425
"770","Manipur",2024,0.6855
"771","Meghalaya",1990,0.461
"772","Meghalaya",1991,0.464
"773","Meghalaya",1992,0.469
"774","Meghalaya",1993,0.467
"775","Meghalaya",1994,0.465
"776","Meghalaya",1995,0.465
"777","Meghalaya",1996,0.464
"778","Meghalaya",1997,0.462
"779","Meghalaya",1998,0.461
"780","Meghalaya",1999,0.461
"781","Meghalaya",2000,0.47
"782","Meghalaya",2001,0.477
"783","Meghalaya",2002,0.487
"784","Meghalaya",2003,0.502
"785","Meghalaya",2004,0.514
"786","Meghalaya",2005,0.526
"787","Meghalaya",2006,0.538
"788","Meghalaya",2007,0.558
